RK,CODE,CODE2,POS,POS RK,TIER,PLAYER,TEAM,PPL,SALARY,TAG,BYE,2022 PROJ,2021 TTL,2021 AVG,2021 TKL,2021 AST,2021 SACK,BEST,WORST,AVG
1,IDP1,LB1,LB,1,1,Roquan Smith,CHI,SHAFT,$6,PP,,150.29,250.25,14.7,95,68,3,1,1,4
2,IDP2,LB3,LB,3,1,Jordyn Brooks,SEA,DYNASTY,$1,X,,135.55,258.75,15.2,108,75,1,3,1,5
3,IDP3,LB2,LB,2,1,Bobby Wagner,LAR,PROGRAM,$7,PP,,135.9,225.25,13.3,93,77,1,2,1,6
4,IDP4,S1,S,1,1,Derwin James Jr.,LAC,ROID RAGERS,$4,PP,,118.25,198.25,13.2,75,43,2,1,5,10
5,IDP5,DE1,DE,1,2,Myles Garrett,CLE,HOMIES,$2,PP,,139.8,188,11.1,33,18,16,1,4,15
6,IDP6,LB4,LB,4,1,Devin White,TB,INVINCIBLES,$5,X,,123.86,199.75,11.8,87,41,3.5,4,3,16
7,IDP7,LB10,LB,10,2,C.J. Mosley,NYJ,ROID RAGERS,$7,PP,,137.18,227.25,14.2,103,65,2,12,13,16
8,IDP8,LB5,LB,5,1,De'Vondre Campbell,GB,INVINCIBLES,$4,PP,,150.84,237,14.8,101,44,2,6,8,17
9,IDP9,LB6,LB,6,1,Eric Kendricks,MIN,PROGRAM,$5,X,,132.23,228,14.3,81,62,5,7,9,17
10,IDP10,LB7,LB,7,2,Blake Martinez,NYG,PROGRAM,$3,X,,159.83,28,9.3,11,12,0,10,7,19
11,IDP11,LB9,LB,9,2,Foye Oluokun,JAC,WAILERS,$1,PP,,151.19,266.5,15.7,102,90,2,5,5,19
12,IDP12,LB12,LB,12,2,T.J. Watt,PIT,DYNASTY,$4,PP,,167.15,269,17.9,48,16,22.5,9,2,21
13,IDP13,S2,S,2,2,Jamal Adams,SEA,BROTHERHOOD,$3,X,,123.48,134.75,11.2,56,31,0,2,11,22
14,IDP14,DE2,DE,2,2,Nick Bosa,SF,PROGRAM,$1,PP,,151.15,201,11.8,40,12,15.5,2,5,22
15,IDP15,LB13,LB,13,2,Logan Wilson,CIN,INVINCIBLES,$3,C,,125.88,161.25,12.4,55,43,1,14,14,23
16,IDP16,LB8,LB,8,2,Micah Parsons,DAL,INVINCIBLES,$1,F,,163.71,229.5,14.3,64,20,13,11,6,24
17,IDP17,S5,S,5,2,Budda Baker,ARI,BROTHERHOOD,$4,X,,128.48,173.25,10.2,63,35,2,4,17,29
18,IDP18,S3,S,3,2,Jordan Poyer,BUF,ROID RAGERS,$2,X,,109.54,186.75,11.7,64,27,3,3,12,30
19,IDP19,LB14,LB,14,2,Cole Holcomb,WAS,SHAFT,$4,X,,142.87,215.5,13.5,83,59,1,15,18,35
20,IDP20,LB11,LB,11,2,Fred Warner,SF,WAILERS,$3,X,,126.12,202.75,12.7,79,58,0.5,13,6,39
21,IDP21,S7,S,7,3,Antoine Winfield Jr.,TB,FREE AGENT,,,,120.01,169.5,13,62,26,2,6,21,39
22,IDP22,S4,S,4,2,Jeremy Chinn,CAR,BROTHERHOOD,$1,X,,118.22,174.5,10.3,74,32,1,5,12,40
