RK,CODE,PLAYER,TEAM,BYE,2021 TTL,BEST,WORST,AVG
1,K1,Justin Tucker,BAL,10,162,1,11,1.9
2,K2,Tyler Bass,BUF,7,143,1,4,2.5
3,K4,Evan McPherson,CIN,10,154,1,5,3.4
4,K3,Matt Gay,LAR,7,159,2,7,3.8
5,K6,Harrison Butker,KC,8,140,3,9,5.8
6,K5,Daniel Carlson,LV,6,174,4,13,6.2
7,K7,Ryan Succop,TB,11,138,4,19,8.8
8,K8,Matt Prater,ARI,13,154,5,19,9.3
9,K10,Rodrigo Blankenship,IND,14,45,9,17,11.2
10,K11,Nick Folk,NE,10,171,8,17,11.2
11,K9,Jason Sanders,MIA,11,115,8,17,12.2
12,K13,Brandon McManus,DEN,9,129,5,23,12.2
13,K12,Robbie Gould,SF,9,112,9,26,13.1
14,K16,Dustin Hopkins,LAC,8,147,6,19,13.8
15,K15,Jake Elliott,PHI,7,150,8,20,15.2
16,K14,Younghoe Koo,ATL,14,125,9,30,15.9
17,K22,Greg Joseph,MIN,7,156,7,26,17
18,K20,Mason Crosby,GB,14,134,15,24,18.7
19,K17,Wil Lutz,NO,14,0,13,25,18.8
20,K18,Chris Boswell,PIT,9,162,14,24,19.5
21,K19,Greg Zuerlein,NYJ,10,140,13,27,20
22,K27,Brett Maher,DAL,9,62,15,30,22.1
23,K24,Randy Bullock,TEN,6,130,14,27,22.3
24,K21,Graham Gano,NYG,9,123,19,28,23
25,K28,Cade York,CLE,9,0,16,34,24.3
26,K23,Jason Myers,SEA,11,104,18,32,25.6
27,K25,Cairo Santos,CHI,14,116,23,31,26.4
28,K26,Ka'imi Fairbairn,HOU,6,68,24,31,26.8
29,K31,Joey Slye,WAS,14,100,21,33,27.5
30,K29,Austin Seibert,DET,6,42,25,31,29.4
31,K33,Zane Gonzalez,CAR,13,98,30,31,30.5
32,K35,James McCourt,JAC,11,0,31,32,31.5
