RK,TEAM,CODE,BYE,WINS,SB,O-LINE,D-LINE,QB-RK,RB1-RK,RB2-RK,WR1-RK,WR2-RK,WR3-RK,TE-RK,OFFENSE-RK,DST-RK
1,Tampa Bay Buccaneers,TBB,11,11.5,15/2,6.3,8.4,9,13,52,9,34,54,31,21,4.3
2,Kansas City Chiefs,KCC,8,10.5,10/1,3.9,19.8,3,28,56,30,53,55,2,25,13.8
3,Buffalo Bills,BUF,7,11.5,13/2,16.1,8.7,1,33,41,6,20,72,9,18,1.1
4,Los Angeles Chargers,LAC,8,10.5,16/1,8.7,7.6,3,4,57,14,14,68,19,16,10.5
5,Green Bay Packers,GBP,14,10.5,11/1,7.7,5.5,12,13,21,33,68,81,20,26,9.2
6,Arizona Cardinals,ARI,13,8.5,35/1,23.7,27.1,6,14,65,26,45,64,10,24,18.9
7,Minnesota Vikings,MIN,7,9.5,40/1,20.9,15.2,14,4,45,2,31,70,16,18,21.5
8,Los Angeles Rams,LAR,7,10.5,11/1,10.7,1.4,11,18,40,2,23,74,20,19,7
9,Dallas Cowboys,DAL,9,10.5,18/1,9.4,17.6,10,17,32,6,59,69,6,20,10
10,Las Vegas Raiders,LVR,6,8.5,40/1,28.3,14.3,14,25,53,5,41,100,5,25,26.4
11,New Orleans Saints,NOS,14,8.5,40/1,20.3,8.3,20,11,57,31,44,59,31,29,6.9
12,Cleveland Browns,CLE,9,8.5,25/1,3.3,13,32,9,33,32,79,84,16,33,13.7
13,Philadelphia Eagles,PHI,7,9.5,30/1,1.2,10.1,6,30,47,10,34,100,7,23,13.6
14,San Francisco 49ers,SFO,9,9.5,16/1,12.5,3.1,11,21,61,6,33,100,5,23,4.8
15,Cincinnati Bengals,CIN,10,9.5,22/1,13.4,18.1,7,7,69,2,12,51,23,17,17.3
16,Baltimore Ravens,BAL,10,10.5,20/1,13.9,16.4,4,22,64,31,98,100,1,32,14.1
17,Indianapolis Colts,IND,14,9.5,25/1,9.9,10.2,20,1,49,13,78,82,28,28,5.2
18,Detroit Lions,DET,6,6.5,125/1,3.3,25.5,26,10,48,30,55,80,9,29,28.4
19,Tennessee Titans,TEN,6,9.5,35/1,26.3,14.7,22,4,74,41,51,94,22,33,18.7
20,New England Patriots,NEP,10,8.5,40/1,9.1,22.1,23,27,30,55,55,86,13,35,8.3
21,Jacksonville Jaguars,JAC,11,6.5,125/1,22.6,25.9,18,21,43,38,70,87,22,33,29
22,New York Jets,NYJ,10,5.5,125/1,16.2,22.6,26,21,40,29,55,68,35,33,27.3
23,Denver Broncos,DEN,9,10.5,16/1,16.2,20.8,10,11,36,16,28,71,17,19,7.8
24,Washington Commanders,WAS,14,7.5,80/1,12.9,6.6,25,24,54,18,63,80,25,33,21.5
25,Atlanta Falcons,ATL,14,4.5,250/1,28.7,31.7,28,34,51,39,96,100,3,41,30.1
26,Miami Dolphins,MIA,11,8.5,40/1,21.8,15,17,30,48,10,22,98,17,26,11.9
27,New York Giants,NYG,9,7.5,100/1,20.7,25.7,23,10,75,46,62,70,34,36,25.5
28,Chicago Bears,CHI,14,6.5,125/1,31.6,28.5,17,21,48,27,93,99,13,34,24.5
29,Carolina Panthers,CAR,13,6.5,100/1,24.3,18.4,26,3,60,13,70,98,38,32,21.8
30,Seattle Seahawks,SEA,11,5.5,150/1,29.9,28.7,33,30,39,21,38,100,21,34,26.9
31,Houston Texans,HOU,6,4.5,250/1,25.8,30.9,26,30,65,20,62,100,26,37,31.2
32,Pittsburgh Steelers,PIT,9,7.5,80/1,29,6.1,32,8,77,22,50,51,13,31,16.3
