RK,CODE,PLAYER,TEAM,BYE,PPL TEAM,SALARY,TAG,2022 PROJ,2021 TTL,BEST,WORST,AVG
1,RB1,Jonathan Taylor,IND,14,DYNASTY,$6 ,F,305.97,333.1,1,1,1
2,RB2,Christian McCaffrey,CAR,13,MACHINE,$21 ,F,205.7,90.5,2,4,2.9
3,RB3,Dalvin Cook,MIN,7,WAILERS,$21 ,F,219.31,172.3,2,6,3.6
4,RB4,Austin Ekeler,LAC,8,ROID RAGERS,$6 ,F,265.83,273.8,3,7,4
5,RB5,Derrick Henry,TEN,6,INVINCIBLES,$14 ,F,259.81,175.3,2,5,4.1
6,RB6,Joe Mixon,CIN,10,SHAFT,$21 ,F,222.98,245.9,5,9,6.5
7,RB7,Najee Harris,PIT,9,HABANEROS,$6 ,F,228.39,226.7,6,12,7.9
8,RB8,Nick Chubb,CLE,9,PROGRAM,$11 ,F,195.43,195.3,6,12,8.9
9,RB9,D'Andre Swift,DET,6,HOMIES,$3 ,F,179.39,146.9,8,14,10.1
10,RB10,Saquon Barkley,NYG,9,INVINCIBLES,$16 ,F,186.21,107.6,4,14,10.3
11,RB11,Alvin Kamara,NO,14,WAILERS,$17 ,F,208.46,187.7,7,16,11.2
12,RB12,Javonte Williams,DEN,9,SHAFT,$4 ,F,188.82,161.9,7,16,11.3
13,RB13,Leonard Fournette,TB,11,ROID RAGERS,$12 ,PP,199.84,186.6,10,16,12.8
14,RB14,Aaron Jones,GB,14,PROGRAM,$11 ,F,194.84,177,9,14,12.8
15,RB15,James Conner,ARI,13,ROID RAGERS,$6 ,F,194.08,220.7,9,20,13.9
16,RB16,Ezekiel Elliott,DAL,9,PROGRAM,$22 ,X,155.54,205.06,15,24,16.9
17,RB17,Cam Akers,LAR,7,MACHINE,$1 ,PP,153.62,1.3,15,21,18.1
18,RB18,Travis Etienne Jr.,JAC,11,INVINCIBLES,$1 ,F,151.26,0,17,24,20.5
19,RB19,David Montgomery,CHI,14,SHAFT,$11 ,F,177.62,154,17,26,20.6
20,RB20,Elijah Mitchell,SF,9,BROTHERHOOD,$12 ,PP,153.12,146,16,26,20.6
21,RB21,Breece Hall,NYJ,10,ROOKIE,NA,,164.46,0,16,27,20.8
22,RB22,AJ Dillon,GB,14,INVINCIBLES,$1 ,F,146.56,151.6,16,26,20.8
23,RB23,J.K. Dobbins,BAL,10,INVINCIBLES,$1 ,PP,167.01,0,16,29,22.4
24,RB24,Antonio Gibson,WAS,14,HOMIES,$5 ,X,142.77,187.1,19,35,24.3
25,RB25,Josh Jacobs,LV,6,BROTHERHOOD,$11 ,F,170.01,172,21,36,24.9
26,RB26,Damien Harris,NE,10,PROGRAM,$6 ,X,163.01,192.1,22,30,26.6
27,RB27,Clyde Edwards-Helaire,KC,8,BROTHERHOOD,$6 ,X,144.87,97.5,24,33,28.4
28,RB28,Rashaad Penny,SEA,11,HABANEROS,$1 ,X,144.21,115.7,22,37,29.7
29,RB29,Dameon Pierce,HOU,6,ROOKIE,NA,,169.56,0,20,44,29.8
30,RB30,Miles Sanders,PHI,7,DYNASTY,$11 ,X,148.12,91.2,26,37,30
31,RB31,Chase Edmonds,MIA,11,DYNASTY,$2 ,X,145.13,100.3,23,37,30.3
32,RB32,Rhamondre Stevenson,NE,10,ROID RAGERS,$1 ,X,133.71,100.9,24,37,30.4
33,RB33,Tony Pollard,DAL,9,BROTHERHOOD,$4 ,PP,145.52,123.6,25,37,31.8
34,RB34,Kareem Hunt,CLE,9,WAILERS,$3 ,PP,141.44,88,30,35,32.6
35,RB35,Devin Singletary,BUF,7,DYNASTY,$1 ,X,152.52,157.8,29,36,33.4
36,RB36,Cordarrelle Patterson,ATL,14,INVINCIBLES,$5 ,X,146.71,182.6,28,44,33.9
37,RB37,Melvin Gordon III,DEN,9,PROGRAM,$1 ,X,141.15,167.2,34,40,36.4
38,RB38,Ken Walker III,SEA,11,ROOKIE,NA,,125.63,0,34,43,38.5
39,RB39,Michael Carter,NYJ,10,BROTHERHOOD,$1 ,X,108.11,118.4,33,44,39.8
40,RB40,Darrell Henderson Jr.,LAR,7,INVINCIBLES,$3 ,C,105.76,134.4,35,45,39.8
41,RB41,James Cook,BUF,7,ROOKIE,NA,,104.83,0,36,47,41.4
42,RB42,James Robinson,JAC,11,HABANEROS,$4 ,PP,128.72,142.9,38,53,42.5
43,RB43,Alexander Mattison,MIN,7,WAILERS,$4 ,X,91.13,93.9,40,55,45.2
44,RB44,Kenneth Gainwell,PHI,7,HOMIES,$6 ,X,121.17,90.4,41,58,46.5
45,RB45,Khalil Herbert,CHI,14,HOMIES,$11 ,X,80.21,64.9,42,54,47.8
46,RB46,Jamaal Williams,DET,6,DYNASTY,$5 ,C,97.92,93.8,43,57,47.8
47,RB47,Raheem Mostert,MIA,11,HOMIES,$9 ,X,97.82,2,39,56,47.8
48,RB48,Nyheim Hines,IND,14,HABANEROS,$4 ,X,101.35,72.6,45,56,49
49,RB49,Tyler Allgeier,ATL,14,ROOKIE,NA,,120.55,0,43,75,50.8
50,RB50,Rachaad White,TB,11,ROOKIE,NA,,94.63,0,45,59,52.3
51,RB51,Zamir White,LV,6,ROOKIE,NA,,103.13,0,46,66,53.4
52,RB52,J.D. McKissic,WAS,14,FREE AGENT,NA,,98.45,84.9,47,88,54.1
53,RB53,Isiah Pacheco,KC,8,ROOKIE,NA,,95.44,0,43,89,55.6
54,RB54,Mark Ingram II,NO,14,FREE AGENT,NA,,92.03,81.6,50,63,56.8
55,RB55,Sony Michel,MIA,11,PROGRAM,$11 ,C,,125.3,39,83,57
56,RB56,Isaiah Spiller,LAC,8,ROOKIE,NA,,72.43,0,46,72,57.1
57,RB57,D'Onta Foreman,CAR,13,FREE AGENT,NA,,74.3,84.9,55,74,60
58,RB58,Tyrion Davis-Price,SF,9,ROOKIE,NA,,24.6,0,53,75,60.5
59,RB59,Brian Robinson Jr.,WAS,14,ROOKIE,NA,,80.72,0,41,85,63.3
60,RB60,Gus Edwards,BAL,10,FREE AGENT,NA,,59.3,0,42,76,63.5
61,RB61,Boston Scott,PHI,7,HOMIES,$3 ,C,39.3,85.6,54,80,64
62,RB62,Darrel Williams,ARI,13,DYNASTY,$1 ,X,106.53,149,55,85,64.5
63,RB63,Marlon Mack,HOU,6,SHAFT,$3 ,X,,10.9,52,99,65.4
64,RB64,Jeff Wilson Jr.,SF,9,FREE AGENT,NA,,77.03,44.5,53,84,66.5
65,RB65,D'Ernest Johnson,CLE,9,FREE AGENT,NA,,27.3,85.1,54,84,67
66,RB66,Mike Davis,BAL,10,MACHINE,$3 ,X,31.71,94.2,55,79,68
67,RB67,Ronald Jones II,KC,8,WAILERS,$1 ,X,43.3,69.2,40,90,68.6
68,RB68,Rex Burkhead,HOU,6,FREE AGENT,NA,,92.02,79.3,56,85,68.7
69,RB69,Samaje Perine,CIN,10,FREE AGENT,NA,,66.72,56.2,57,83,68.8
70,RB70,Zack Moss,BUF,7,HABANEROS,$1 ,X,40.71,82.2,58,81,69.9
71,RB71,Kenyan Drake,FA,,BROTHERHOOD,$6 ,X,76.22,72.5,51,103,70.6
72,RB72,Jerick McKinnon,KC,8,FREE AGENT,NA,,67.76,22.9,59,88,70.7
73,RB73,Eno Benjamin,ARI,13,HOMIES,$2 ,C,23.5,22,57,89,71.8
74,RB74,Damien Williams,ATL,14,FREE AGENT,NA,,97.35,44.7,62,92,73.1
75,RB75,Chuba Hubbard,CAR,13,HABANEROS,$1 ,X,63.73,112.6,60,87,73.8
76,RB76,Dontrell Hilliard,TEN,6,DYNASTY,$9 ,C,69.81,53.7,57,96,73.9
77,RB77,Matt Breida,NYG,9,FREE AGENT,NA,,69.56,35.7,64,82,74.7
78,RB78,Joshua Kelley,LAC,8,FREE AGENT,NA,,45.3,12,63,86,74.7
79,RB79,Jaylen Warren,PIT,9,,,,,0,58,95,77
80,RB80,Hassan Haskins,TEN,6,,,,88.82,0,66,91,77.6
81,RB81,Ke'Shawn Vaughn,TB,11,,,,41.41,32.6,68,85,77.9
82,RB82,Trey Sermon,SF,9,ROID RAGERS,$3 ,C,24.6,25.3,63,106,79.9
83,RB83,Chris Evans,CIN,10,MACHINE,$1 ,X,24.24,34.8,64,97,79.9
84,RB84,Ameer Abdullah,LV,6,,,,45.54,51.5,63,98,80.4
85,RB85,Phillip Lindsay,IND,14,WAILERS,$1 ,,,41.4,74,104,84.1
86,RB86,Myles Gaskin,MIA,11,DYNASTY,$1 ,X,24.01,124.6,68,104,84.2
87,RB87,Kyren Williams,LAR,7,,,,22.01,0,77,93,84.4
88,RB88,Pierre Strong Jr.,NE,10,,,,25.11,0,76,100,86.9
89,RB89,Snoop Conner,JAC,11,ROOKIE,NA,,22.01,0,79,101,88.8
90,RB90,Justin Jackson,DET,6,,,,25.6,64.2,76,102,90.6
91,RB91,Keaontay Ingram,ARI,13,,,,25.11,0,77,104,91.4
92,RB92,Giovani Bernard,TB,11,,,,,36.1,82,109,92.3
93,RB93,Tyler Badie,BAL,10,,,,29,0,78,104,92.7
94,RB94,Ty Montgomery,NE,10,,,,15.5,13.9,82,113,95.2
95,RB95,Tevin Coleman,NYJ,10,,,,,40.5,88,114,97.1
96,RB96,Duke Johnson Jr.,BUF,7,,,,,55.1,84,110,98.4
97,RB97,Jerome Ford,CLE,9,,,,26.71,0,85,129,99.1
98,RB98,Darrynton Evans,CHI,14,,,,8.71,1.8,81,126,100
99,RB99,Salvon Ahmed,MIA,11,,,,16.4,26.6,80,153,100.6
100,RB100,Ty Johnson,NYJ,10,,,,10.91,83,86,120,101.8
