RK,CODE,PLAYER,TEAM,BYE,PPL TEAM,SALARY,TAG,2022 PROJ,2021 TTL,BEST,WORST,AVG
1,TE1,Mark Andrews,BAL,10,ROID RAGERS,$4 ,F,181.4,194.1,1,2,1.2
2,TE2,Travis Kelce,KC,8,MACHINE,$23 ,F,207.71,170.8,1,2,1.8
3,TE3,Kyle Pitts,ATL,14,INVINCIBLES,$5 ,F,135.01,108.6,3,4,3
4,TE4,George Kittle,SF,9,PROGRAM,$11 ,PP,132.68,127,4,6,4.7
5,TE5,Darren Waller,LV,6,ROID RAGERS,$6 ,F,126.42,78.5,3,7,5
6,TE6,Dalton Schultz,DAL,9,PROGRAM,$4 ,PP,117.41,130.8,4,8,6
7,TE7,Dallas Goedert,PHI,7,BROTHERHOOD,$12 ,PP,121.57,109,5,9,7.2
8,TE8,T.J. Hockenson,DET,6,HABANEROS,$1 ,PP,97.77,84.3,4,11,8.6
9,TE9,Dawson Knox,BUF,7,DYNASTY,$1 ,PP,124.26,115.1,7,11,8.6
10,TE10,Zach Ertz,ARI,13,WAILERS,$1 ,X,106.17,106.7,7,15,10.2
11,TE11,Cole Kmet,CHI,14,MACHINE,$1 ,PP,90.82,61.2,9,19,12.8
12,TE12,Pat Freiermuth,PIT,9,WAILERS,$6 ,C,93.62,91.7,10,17,12.8
13,TE13,Hunter Henry,NE,10,INVINCIBLES,$6 ,C,88.89,114.3,11,19,13.1
14,TE14,Irv Smith Jr.,MIN,7,FREE AGENT,NA,,89.27,0,11,22,15.5
15,TE15,David Njoku,CLE,9,SHAFT,$3 ,X,92.96,71.6,10,22,16
16,TE16,Albert Okwuegbunam,DEN,9,FREE AGENT,NA,,80.25,43,12,24,16.8
17,TE17,Mike Gesicki,MIA,11,DYNASTY,$6 ,X,104.41,92,10,24,16.9
18,TE18,Gerald Everett,LAC,8,SHAFT,$1 ,X,92.05,69.8,15,26,18.7
19,TE19,Tyler Higbee,LAR,7,HOMIES,$3 ,X,85.73,86,17,23,20.1
20,TE20,Robert Tonyan,GB,14,BROTHERHOOD,$2 ,X,76.06,32.4,13,29,20.2
21,TE21,Noah Fant,SEA,11,SHAFT,$6 ,X,84.02,91,16,25,20.8
22,TE22,Austin Hooper,TEN,6,WAILERS,$3 ,C,89.28,54.5,17,26,21.6
23,TE23,Evan Engram,JAC,11,HABANEROS,$3 ,X,93.35,56.5,16,24,22.1
24,TE24,Hayden Hurst,CIN,10,FREE AGENT,NA,,67.94,38.1,18,28,22.7
25,TE25,Logan Thomas,WAS,14,DYNASTY,$2 ,X,84.07,35.6,19,31,25.1
26,TE26,Brevin Jordan,HOU,6,FREE AGENT,NA,,61.53,35.8,18,38,26.3
27,TE27,Mo Alie-Cox,IND,14,FREE AGENT,NA,,59.83,55.6,21,37,28.3
28,TE28,Jonnu Smith,NE,10,FREE AGENT,NA,,60.88,39.4,24,34,28.9
29,TE29,Cameron Brate,TB,11,FREE AGENT,NA,,59.82,48.5,26,43,31.1
30,TE30,Adam Trautman,NO,14,MACHINE,$1 ,X,49.08,36.3,26,43,31.1
31,TE31,Daniel Bellinger,NYG,9,ROOKIE,NA,,52.48,0,28,41,33.6
32,TE32,C.J. Uzomah,NYJ,10,BROTHERHOOD,$3 ,X,60.6,79.3,30,47,34.8
33,TE33,Tyler Conklin,NYJ,10,INVINCIBLES,$2 ,C,56.27,77.3,28,40,34.9
34,TE34,Kyle Rudolph,TB,11,FREE AGENT,NA,,70.01,33.7,27,59,35.7
35,TE35,Dan Arnold,JAC,11,ROID RAGERS,$1 ,C,37.04,40.8,28,48,35.8
36,TE36,Jared Cook,FA,,INVINCIBLES,$4 ,C,,84.4,28,50,37
37,TE37,Trey McBride,ARI,13,FREE AGENT,NA,,49.08,0,32,46,37.1
38,TE38,Isaiah Likely,BAL,10,,,,79.85,0,27,59,37.4
39,TE39,Tommy Tremble,CAR,13,FREE AGENT,NA,,43.45,33.1,31,44,38.1
40,TE40,Harrison Bryant,CLE,9,FREE AGENT,NA,,62.85,41.3,32,48,39
41,TE41,Taysom Hill,NO,14,MACHINE,$6 ,C,71.86,122.72,38,41,39.5
42,TE42,Greg Dulcich,DEN,9,ROOKIE,NA,,18.13,0,32,47,40.1
43,TE43,Donald Parham Jr.,LAC,8,FREE AGENT,NA,,,39,33,56,40.6
44,TE44,Foster Moreau,LV,6,FREE AGENT,NA,,74.35,55.3,33,53,40.9
45,TE45,O.J. Howard,BUF,7,,,,,19.5,30,56,42
46,TE46,Jelani Woods,IND,14,,,,58.51,0,35,53,43.2
47,TE47,John Bates,WAS,14,,,,51.15,30.9,34,59,45.8
48,TE48,Anthony Firkser,ATL,14,,,,41.36,39.1,35,54,46.8
49,TE49,Kylen Granson,IND,14,,,,16.62,10.6,43,57,49.6
50,TE50,Geoff Swaim,TEN,6,,,,53.01,39,44,65,53
