RK,CODE,PLAYER,TEAM,TEAM,PPL TEAM,SALARY,TAG,'22 PROJ,'21 TTL,BEST,WORST,AVG
1,WR1,Justin Jefferson,MIN,7,PROGRAM,$6,F,216.08,222.4,1,3,1.8
2,WR2,Cooper Kupp,LAR,7,HOMIES,$7,F,262.52,294.5,1,3,2.1
3,WR3,Ja'Marr Chase,CIN,10,HOMIES,$1,F,205.51,223.6,2,4,2.2
4,WR4,Davante Adams,LV,6,DYNASTY,$25,F,195.62,221.3,3,9,5.4
5,WR5,Deebo Samuel,SF,9,MACHINE,$3,F,202.56,261.96,4,10,5.7
6,WR6,CeeDee Lamb,DAL,9,BROTHERHOOD,$4,F,176.31,153.8,4,8,5.8
7,WR7,Stefon Diggs,BUF,7,DYNASTY,$11,F,193.96,182.5,4,9,5.9
8,WR8,Mike Evans,TB,11,ROID RAGERS,$34,X,175.44,188.5,6,13,8.8
9,WR9,Tyreek Hill,MIA,11,DYNASTY,$16,F,161.01,185.5,8,14,9.8
10,WR10,A.J. Brown,PHI,7,INVINCIBLES,$15,PP,163.43,117.9,6,17,10.3
11,WR11,Tee Higgins,CIN,10,HABANEROS,$2,F,164.91,145.1,8,14,11.6
12,WR12,Michael Pittman Jr.,IND,14,BROTHERHOOD,$1,F,160.2,150.6,9,16,12.7
13,WR13,DJ Moore,CAR,13,SHAFT,$11,F,146.46,144.5,9,17,13.3
14,WR14,Keenan Allen,LAC,8,BROTHERHOOD,$23,F,163.2,151.8,10,21,14.2
15,WR15,Mike Williams,LAC,8,MACHINE,$3,PP,164.13,170.6,12,19,14.4
16,WR16,Courtland Sutton,DEN,9,WAILERS,$5,PP,152.86,92.24,8,21,15.6
17,WR17,Terry McLaurin,WAS,14,INVINCIBLES,$12,X,146.99,136.5,14,25,17.7
18,WR18,Gabriel Davis,BUF,7,SHAFT,$5,F,143.59,90.9,12,36,19.5
19,WR19,Brandin Cooks,HOU,6,HOMIES,$1,PP,146.28,141.8,16,30,20.4
20,WR20,DK Metcalf,SEA,11,MACHINE,$6,PP,147.13,169.3,16,29,20.8
21,WR21,Jaylen Waddle,MIA,11,HABANEROS,$1,F,161.62,141.8,16,30,22
22,WR22,Diontae Johnson,PIT,9,SHAFT,$1,PP,145.31,167.4,17,30,22
23,WR23,Allen Robinson II,LAR,7,WAILERS,$13,X,153.09,49,15,31,23
24,WR24,Marquise Brown,ARI,13,INVINCIBLES,$9,PP,144.51,135.3,19,34,26.4
25,WR25,Darnell Mooney,CHI,14,HOMIES,$1,PP,132.66,138.7,20,33,26.5
26,WR26,Jerry Jeudy,DEN,9,ROID RAGERS,$1,PP,146.05,47,18,37,28.3
27,WR27,Elijah Moore,NYJ,10,HOMIES,$3,PP,133.5,95.2,23,37,29.1
28,WR28,JuJu Smith-Schuster,KC,8,FREE AGENT,NA,,130.16,19.8,20,36,29.6
29,WR29,Amon-Ra St. Brown,DET,6,BROTHERHOOD,$1,PP,123.05,137.3,21,36,29.8
30,WR30,Michael Thomas,NO,14,HOMIES,$16,X,140.28,0,24,40,30.8
31,WR31,Rashod Bateman,BAL,10,SHAFT,$1,PP,134.24,57.5,23,39,31
32,WR32,Adam Thielen,MIN,7,SHAFT,$18,C,135.41,132.8,25,42,31.3
33,WR33,Amari Cooper,CLE,9,WAILERS,$12,C,129.98,134.5,24,43,32.2
34,WR34,Brandon Aiyuk,SF,9,SHAFT,$2,X,124.16,114.3,22,40,33
35,WR35,Allen Lazard,GB,14,FREE AGENT,NA,,129.78,102.5,21,44,33.1
36,WR36,Chris Godwin,TB,11,HOMIES,$11,PP,154.37,144.4,23,42,33.5
37,WR37,DeVonta Smith,PHI,7,HOMIES,$1,PP,132.7,121.6,24,44,34.4
38,WR38,Tyler Lockett,SEA,11,ROID RAGERS,$11,C,127.35,168.4,30,47,37.7
39,WR39,Christian Kirk,JAC,11,PROGRAM,$2,X,131.75,130.62,32,46,38.1
40,WR40,Drake London,ATL,14,ROOKIE,NA,,119.24,0,32,47,38.5
41,WR41,Robert Woods,TEN,6,FREE AGENT,NA,,130.94,92.2,34,56,41.3
42,WR42,Hunter Renfrow,LV,6,DYNASTY,$1,PP,124.1,156.1,35,46,41.3
43,WR43,Chris Olave,NO,14,ROOKIE,NA,,105.66,0,38,51,44.4
44,WR44,DeAndre Hopkins,ARI,13,DYNASTY,$38,C,109.1,105.2,38,61,44.9
45,WR45,Kadarius Toney,NYG,9,SHAFT,$6,X,110.7,43.36,39,55,45.6
46,WR46,Chase Claypool,PIT,9,MACHINE,$1,X,112.69,107.6,40,62,49.8
47,WR47,Tyler Boyd,CIN,10,FREE AGENT,NA,,106.23,116.84,43,59,50.6
48,WR48,George Pickens,PIT,9,ROOKIE,NA,,113.23,0,41,63,51
49,WR49,Treylon Burks,TEN,6,ROOKIE,NA,,114.15,0,38,69,51.4
50,WR50,Marquez Valdes-Scantling,KC,8,SHAFT,$1,X,111.64,61,41,64,52.6
51,WR51,Russell Gage,TB,11,SHAFT,$6,X,106.56,97,43,71,53.9
52,WR52,Garrett Wilson,NYJ,10,ROOKIE,NA,,108.12,0,45,72,54.9
53,WR53,Skyy Moore,KC,8,ROOKIE,NA,,103.03,0,45,67,55.1
54,WR54,DeVante Parker,NE,10,DYNASTY,$1,X,113.85,63.5,44,68,55.2
55,WR55,Julio Jones,TB,11,FREE AGENT,NA,,98.4,49.4,44,76,55.3
56,WR56,Jakobi Meyers,NE,10,HOMIES,$3,X,107.72,103.3,45,63,55.4
57,WR57,DJ Chark Jr.,DET,6,FREE AGENT,NA,,92.96,27.4,47,68,55.4
58,WR58,Jarvis Landry,NO,14,DYNASTY,$1,X,97.72,81,50,73,59.1
59,WR59,Michael Gallup,DAL,9,ROID RAGERS,$1,C,105.54,56.5,45,73,59.2
60,WR60,Nico Collins,HOU,6,FREE AGENT,NA,,105.19,50.6,47,72,61.6
61,WR61,Kenny Golladay,NYG,9,HABANEROS,$7,X,110.3,52.1,51,79,61.6
62,WR62,Jahan Dotson,WAS,14,ROOKIE,NA,,104.73,0,50,81,62.7
63,WR63,Rondale Moore,ARI,13,FREE AGENT,NA,,94.93,55.1,53,75,64
64,WR64,Romeo Doubs,GB,14,ROOKIE,NA,,80.91,0,53,96,67.5
65,WR65,Corey Davis,NYJ,10,HOMIES,$5,X,98.54,71.2,53,79,67.7
66,WR66,Joshua Palmer,LAC,8,FREE AGENT,NA,,64.83,59.9,52,82,68.4
67,WR67,Jalen Tolbert,DAL,9,ROOKIE,NA,,97.93,0,53,100,68.7
68,WR68,Robbie Anderson,CAR,13,HOMIES,$6,X,100.38,85.5,55,82,69.6
69,WR69,Mecole Hardman,KC,8,HOMIES,$1,X,95.7,81.9,54,86,69.7
70,WR70,K.J. Osborn,MIN,7,FREE AGENT,NA,,112.21,108.5,58,86,69.8
71,WR71,Wan'Dale Robinson,NYG,9,ROOKIE,NA,,53.15,0,58,95,70.1
72,WR72,Marvin Jones Jr.,JAC,11,MACHINE,$1,X,124.21,107.2,55,87,70.2
73,WR73,KJ Hamler,DEN,9,ROOKIE,NA,,,7.4,52,88,71.3
74,WR74,Isaiah McKenzie,BUF,7,FREE AGENT,NA,,85.61,32.5,51,111,71.7
75,WR75,Van Jefferson,LAR,7,HABANEROS,$1,PP,87.91,118.2,62,102,73.7
76,WR76,Alec Pierce,IND,14,ROOKIE,NA,,64.28,0,66,95,78.1
77,WR77,Donovan Peoples-Jones,CLE,9,BROTHERHOOD,$4,C,107.82,75.7,72,94,79.3
78,WR78,Curtis Samuel,WAS,14,FREE AGENT,NA,,75.69,3.8,70,94,79.9
79,WR79,Jameson Williams,DET,6,ROOKIE,NA,,48.26,0,64,117,80
80,WR80,Christian Watson,GB,14,ROOKIE,NA,,89.43,0,60,103,80.8
81,WR81,Parris Campbell,IND,14,FREE AGENT,NA,,68.3,22.2,66,99,82.1
82,WR82,David Bell,CLE,9,ROOKIE,NA,,74.48,0,63,106,83.8
83,WR83,Sterling Shepard,NYG,9,HABANEROS,$6,X,110.41,41.7,75,104,86.2
84,WR84,Kendrick Bourne,NE,10,FREE AGENT,NA,,102.66,125.5,67,121,86.3
85,WR85,A.J. Green,ARI,13,INVINCIBLES,$5,C,73.27,102.8,65,107,86.8
86,WR86,Zay Jones,JAC,11,,,,75.27,58.9,72,103,87
87,WR87,Jamison Crowder,BUF,7,DYNASTY,$1,C,70.31,58.7,78,113,87.2
88,WR88,Sammy Watkins,GB,14,FREE AGENT,NA,,82.99,43.4,68,119,91.3
89,WR89,Randall Cobb,GB,14,HABANEROS,$3,C,89.17,65.6,74,109,91.4
90,WR90,Braxton Berrios,NYJ,10,FREE AGENT,NA,,96.29,75.1,81,107,92.1
91,WR91,Byron Pringle,CHI,14,MACHINE,$1,C,56.81,84.8,85,104,92.6
92,WR92,Nick Westbrook-Ikhine,TEN,6,FREE AGENT,NA,,,69.6,79,121,93.7
93,WR93,Nelson Agholor,NE,10,ROID RAGERS,$1,C,80.11,66.4,75,115,93.9
94,WR94,Laviska Shenault Jr.,JAC,11,ROID RAGERS,$1,C,72.27,64,80,145,94.9
95,WR95,Bryan Edwards,ATL,14,WAILERS,$3,C,75.9,75.1,86,111,96
96,WR96,Terrace Marshall Jr.,CAR,13,FREE AGENT,NA,,26.43,15.8,83,177,97.9
97,WR97,Devin Duvernay,BAL,10,FREE AGENT,NA,,55.68,44.2,77,126,98
98,WR98,Cedrick Wilson Jr.,MIA,11,FREE AGENT,NA,,,102.82,85,112,98.4
99,WR99,Velus Jones Jr.,CHI,14,ROOKIE,NA,,55.27,0,83,125,98.7
100,WR100,Marquez Callaway,NO,14,ROID RAGERS,$1,C,93.46,105.8,86,128,101.3
